,G1,G2a,G2b
0,1.928569,0.075084,0.227735
1,1.8622779999999999,0.055760000000000004,0.159619
2,1.8730240000000002,0.06989,0.222079
3,1.853321,0.06888899999999999,0.18955999999999998
4,1.81509,0.079362,0.23479
5,1.616591,0.060676,0.187303
6,1.963282,0.091152,0.276437
7,1.984435,0.093291,0.294174
8,1.582122,0.05089,0.154564
9,1.907602,0.085802,0.265764
10,1.786419,0.052688,0.159063
11,2.125343,0.099774,0.292496
12,1.7667680000000001,0.06290499999999999,0.177927
13,2.004931,0.098597,0.297105
14,1.86539,0.064621,0.189824
15,1.95957,0.095792,0.241671
16,1.6259620000000001,0.0588,0.184229
17,1.9444150000000002,0.09692200000000001,0.25443899999999997
18,1.8239779999999999,0.068746,0.190198
19,1.988736,0.078167,0.258123
20,2.022694,0.094489,0.282587
21,2.1602810000000003,0.11188499999999998,0.355644
22,2.136327,0.10941600000000001,0.329398
23,1.866809,0.0701,0.191702
24,1.8440729999999999,0.079713,0.26043499999999997
25,2.083825,0.111929,0.31058800000000003
26,2.001172,0.09965399999999999,0.310762
27,1.9148180000000001,0.06952799999999999,0.199572
28,2.081982,0.104288,0.34212800000000004
29,2.030797,0.094336,0.26879000000000003
30,1.9900349999999998,0.099196,0.31049699999999997
31,2.064968,0.09447799999999999,0.30480999999999997
32,1.61046,0.061075,0.178789
33,1.9748330000000003,0.095076,0.303811
34,1.8120630000000002,0.07874,0.198408
35,1.9582669999999998,0.09120299999999999,0.269907
36,1.765743,0.06969500000000001,0.190384
37,1.859898,0.068299,0.199428
38,2.064231,0.09139800000000001,0.268489
39,2.016546,0.074516,0.20710100000000004
40,2.1849689999999997,0.114623,0.353028
41,2.130042,0.12978399999999998,0.388903
42,2.276968,0.15168299999999998,0.449825
43,2.061052,0.10926400000000001,0.32147800000000004
44,1.616227,0.062164,0.181525
45,1.681301,0.060177999999999995,0.189327
46,1.871916,0.097277,0.292381
47,1.7200970000000002,0.078319,0.238292
48,2.177936,0.133025,0.375295
49,1.9721090000000001,0.106252,0.32265
50,1.974127,0.094449,0.290246
51,1.72245,0.068925,0.20843499999999998
52,2.233761,0.133162,0.39779699999999996
53,1.859835,0.072977,0.199888
54,1.960419,0.08491900000000001,0.24506799999999998
55,2.034417,0.091698,0.285356
56,2.052323,0.09400499999999999,0.290551
57,1.811146,0.063875,0.198527
58,1.738648,0.048184,0.13235
59,1.97783,0.086021,0.267573
60,1.9579830000000003,0.08551399999999999,0.24517199999999997
61,1.8846990000000001,0.064945,0.190675
62,1.885207,0.080937,0.25307199999999996
63,1.738862,0.067776,0.207306
64,1.744563,0.067846,0.209011
65,1.967861,0.08489,0.246248
66,1.7491709999999998,0.055867999999999994,0.170632
67,1.96003,0.087626,0.276929
68,1.841076,0.067415,0.203073
69,1.993377,0.087264,0.26268600000000003
70,2.030119,0.091409,0.275949
71,1.821343,0.090522,0.269899
72,2.096167,0.093534,0.295257
73,1.92367,0.086373,0.258187
74,2.001327,0.078645,0.217559
75,1.944323,0.102801,0.321734
76,1.9744849999999998,0.087379,0.291516
77,2.0103869999999997,0.095572,0.268231
78,2.1924759999999996,0.12720499999999998,0.37136399999999997
79,2.1294049999999998,0.115396,0.339378
80,1.846175,0.076087,0.213627
81,1.80083,0.077968,0.25350700000000004
82,2.008368,0.095117,0.263338
83,1.9427159999999999,0.09289700000000001,0.255242
84,1.802175,0.070092,0.22639299999999998
85,2.0494689999999998,0.09064900000000001,0.275013
86,1.872441,0.077248,0.223446
87,1.884827,0.088872,0.246731
88,1.798962,0.05140700000000001,0.132604
89,1.8531799999999998,0.061597000000000006,0.18246600000000002
90,1.8056459999999999,0.069832,0.207725
91,1.945907,0.09679600000000001,0.286967
92,1.865331,0.07516,0.223502
93,1.830187,0.079386,0.238313
94,2.035915,0.087335,0.276751
95,1.960425,0.10763099999999999,0.286812
96,1.962638,0.08102100000000001,0.24114699999999997
97,1.882265,0.076823,0.227836
98,1.799382,0.06791599999999999,0.19811199999999998
99,1.7761810000000002,0.057096,0.17048
100,1.84435,0.071324,0.21693
101,1.959616,0.08063200000000001,0.23383400000000001
102,1.9807599999999999,0.087838,0.27246
103,1.8441290000000001,0.07762100000000001,0.22006599999999998
104,1.940722,0.103447,0.291406
105,2.021477,0.100642,0.323689
106,2.0305009999999997,0.10941300000000001,0.317116
107,1.8402150000000002,0.094458,0.25455
108,1.972058,0.094592,0.275644
109,2.0539970000000003,0.094488,0.296557
110,1.953071,0.079509,0.23562800000000003
111,1.7092919999999998,0.049611,0.14294
112,1.911018,0.078172,0.23099299999999998
113,1.823777,0.08518400000000001,0.244954
114,2.052822,0.09821,0.32058000000000003
115,2.135987,0.113776,0.33774099999999996
116,1.887199,0.08291,0.22528099999999998
117,1.86503,0.067707,0.21335199999999999
118,1.866975,0.082298,0.260753
119,2.137692,0.11008499999999999,0.33273400000000003
120,1.8586900000000002,0.098253,0.27978200000000003
121,2.088607,0.088672,0.283019
122,1.884105,0.079848,0.239331
123,1.75869,0.064726,0.190814
124,1.7197689999999999,0.063486,0.181231
125,1.4286219999999998,0.051829999999999994,0.144353
126,1.803896,0.075527,0.20945100000000003
127,1.988087,0.089374,0.278212
